ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000786.SZ,20000328,17.1,17.6,16.5,16.9,17.09,-0.19,-1.11,27360.0,46326.9204
000786.SZ,20000329,17.06,17.57,16.9,17.14,16.9,0.24,1.42,14183.0,24359.675
000786.SZ,20000330,17.2,17.48,16.53,17.17,17.14,0.03,0.18,18992.0,32029.4361
000786.SZ,20000331,16.88,17.2,16.39,16.5,17.17,-0.67,-3.9,21654.0,35911.6016
000786.SZ,20000403,16.38,16.55,15.6,15.67,16.5,-0.83,-5.03,22720.0,36403.2587
000786.SZ,20000404,15.55,15.98,15.4,15.79,15.67,0.12,0.77,11941.0,18731.2661
000786.SZ,20000405,15.77,15.98,14.9,15.36,15.79,-0.43,-2.72,19140.0,29279.0417
000786.SZ,20000406,15.4,15.96,15.0,15.96,15.36,0.6,3.91,12776.0,19783.752
000786.SZ,20000407,16.0,16.18,15.26,15.63,15.96,-0.33,-2.07,13671.0,21452.7054
000786.SZ,20000410,15.64,16.31,15.6,16.18,15.63,0.55,3.52,11353.0,18157.1181
000786.SZ,20000411,16.2,16.3,15.8,16.2,16.18,0.02,0.12,11318.0,18140.3633
000786.SZ,20000412,16.25,16.3,15.3,15.58,16.2,-0.62,-3.83,14889.0,23200.9858
000786.SZ,20000413,15.45,15.98,15.2,15.49,15.58,-0.09,-0.58,18585.0,28833.2426
000786.SZ,20000414,15.58,15.58,15.0,15.31,15.49,-0.18,-1.16,12724.0,19316.5853
000786.SZ,20000417,15.2,15.25,14.49,14.6,15.31,-0.71,-4.64,15412.0,22564.2187
000786.SZ,20000418,14.6,14.96,14.58,14.75,14.6,0.15,1.03,6480.0,9531.0
000786.SZ,20000419,14.75,15.1,14.61,14.9,14.75,0.15,1.02,5843.0,8731.1502
000786.SZ,20000420,15.05,15.6,14.88,15.1,14.9,0.2,1.34,8867.0,13538.3232
000786.SZ,20000421,15.12,15.4,15.0,15.2,15.1,0.1,0.66,7321.0,11113.1201
000786.SZ,20000424,15.17,15.2,14.8,14.85,15.2,-0.35,-2.3,7203.0,10754.7836
000786.SZ,20000425,14.85,14.85,14.66,14.7,14.85,-0.15,-1.01,4675.0,6878.8692
000786.SZ,20000426,14.9,15.64,14.9,15.42,14.7,0.72,4.9,13295.0,20485.5135
000786.SZ,20000427,15.56,15.75,15.3,15.36,15.42,-0.06,-0.39,9061.0,14100.6715
000786.SZ,20000508,16.1,16.28,15.7,15.79,15.36,0.43,2.8,12293.0,19566.5335
000786.SZ,20000509,15.8,15.9,15.0,15.3,15.79,-0.49,-3.1,6344.0,9703.6062
000786.SZ,20000510,15.29,15.4,14.9,14.94,15.3,-0.36,-2.35,4419.0,6638.1726
000786.SZ,20000511,14.93,14.93,14.65,14.7,14.94,-0.24,-1.61,3553.0,5234.4192
000786.SZ,20000512,14.99,15.0,14.45,14.54,14.7,-0.16,-1.09,2879.0,4207.1418
000786.SZ,20000515,14.5,14.79,13.8,13.85,14.54,-0.69,-4.75,5317.0,7510.3112
000786.SZ,20000516,13.8,14.58,13.79,14.27,13.85,0.42,3.03,7535.0,10747.732
000786.SZ,20000517,14.27,14.54,14.1,14.43,14.27,0.16,1.12,10036.0,14443.3519
000786.SZ,20000518,14.4,14.66,14.12,14.57,14.43,0.14,0.97,7616.0,11050.0464
000786.SZ,20000519,14.35,14.99,14.35,14.95,14.57,0.38,2.61,12183.0,18010.0915
000786.SZ,20000522,14.99,15.6,14.3,15.48,14.95,0.53,3.55,14486.0,22132.9492
000786.SZ,20000523,15.5,15.6,14.81,15.22,15.48,-0.26,-1.68,7837.0,11875.619
000786.SZ,20000524,15.18,15.99,15.0,15.62,15.22,0.4,2.63,19693.0,30547.9585
000786.SZ,20000525,15.7,15.99,15.3,15.56,15.62,-0.06,-0.38,15507.0,24202.39
000786.SZ,20000526,15.78,15.78,15.15,15.53,15.56,-0.03,-0.19,17926.0,27649.1819
000786.SZ,20000529,15.59,15.65,15.1,15.32,15.53,-0.21,-1.35,9596.0,14624.1445
000786.SZ,20000530,15.32,15.61,15.03,15.13,15.32,-0.19,-1.24,13623.0,20905.7981
000786.SZ,20000531,15.6,15.6,14.88,15.0,15.13,-0.13,-0.86,10522.0,15932.2842
000786.SZ,20000601,15.0,15.2,14.55,14.62,15.0,-0.38,-2.53,17342.0,25549.7465
000786.SZ,20000602,14.62,15.3,14.5,15.14,14.62,0.52,3.56,27636.0,41441.6116
000786.SZ,20000605,15.28,15.4,14.79,15.19,15.14,0.05,0.33,22874.0,34597.389
000786.SZ,20000606,15.2,15.25,14.88,15.06,15.19,-0.13,-0.86,8398.0,12655.8661
000786.SZ,20000607,15.1,15.18,14.65,14.88,15.06,-0.18,-1.2,14284.0,21260.2195
000786.SZ,20000608,14.9,14.95,14.5,14.8,14.88,-0.08,-0.54,13115.0,19191.6939
000786.SZ,20000609,14.8,14.8,14.4,14.51,14.8,-0.29,-1.96,7028.0,10230.7562
000786.SZ,20000612,14.31,14.85,14.31,14.61,14.51,0.1,0.69,4433.0,6507.1968
000786.SZ,20000613,14.8,14.84,14.58,14.8,14.61,0.19,1.3,4158.0,6096.4985
000786.SZ,20000614,15.1,15.1,14.6,14.65,14.8,-0.15,-1.01,7847.0,11570.0908
000786.SZ,20000615,14.7,14.7,14.4,14.61,14.65,-0.04,-0.27,7099.0,10279.8938
000786.SZ,20000616,15.0,15.0,14.7,14.91,14.61,0.3,2.05,6511.0,9692.0215
000786.SZ,20000619,14.8,15.0,14.7,14.8,14.91,-0.11,-0.74,3183.0,4725.2156
000786.SZ,20000620,14.7,14.98,14.46,14.5,14.8,-0.3,-2.03,4668.0,6825.7322
000786.SZ,20000621,14.57,14.88,14.5,14.6,14.5,0.1,0.69,3163.0,4608.307
000786.SZ,20000622,14.62,14.75,14.1,14.2,14.6,-0.4,-2.74,16031.0,23026.9995
000786.SZ,20000623,14.25,14.54,13.97,14.49,14.2,0.29,2.04,10210.0,14481.4587
000786.SZ,20000626,14.49,14.9,14.48,14.5,14.49,0.01,0.07,5888.0,8626.9089
000786.SZ,20000627,14.44,14.56,14.24,14.34,14.4,-0.06,-0.42,5676.0,8138.2898
000786.SZ,20000629,14.5,14.5,14.0,14.39,14.34,0.05,0.35,7861.0,11201.0793
000786.SZ,20000630,14.49,14.5,14.08,14.1,14.39,-0.29,-2.02,5787.0,8208.2259
000786.SZ,20000703,14.25,14.6,14.0,14.36,14.1,0.26,1.84,7861.0,11313.2253
000786.SZ,20000704,14.3,14.38,14.07,14.15,14.36,-0.21,-1.46,3829.0,5431.0427
000786.SZ,20000705,14.15,14.35,14.1,14.11,14.15,-0.04,-0.28,2790.0,3953.3448
000786.SZ,20000706,14.15,14.2,13.98,14.05,14.11,-0.06,-0.43,4234.0,5942.362
000786.SZ,20000707,14.19,14.19,14.0,14.12,14.05,0.07,0.5,2714.0,3821.576
000786.SZ,20000710,14.15,14.2,13.84,13.89,14.12,-0.23,-1.63,6742.0,9416.6754
000786.SZ,20000711,14.0,14.3,13.8,14.18,13.89,0.29,2.09,9305.0,13089.2062
000786.SZ,20000712,14.2,14.26,14.0,14.09,14.18,-0.09,-0.63,6220.0,8772.04
000786.SZ,20000713,14.06,14.48,14.0,14.48,14.09,0.39,2.77,14943.0,21270.0101
000786.SZ,20000714,14.5,14.89,14.48,14.7,14.48,0.22,1.52,10119.0,14866.58
000786.SZ,20000717,14.7,14.88,14.41,14.51,14.7,-0.19,-1.29,8435.0,12375.0906
000786.SZ,20000718,14.51,14.65,14.33,14.4,14.51,-0.11,-0.76,4192.0,6049.1952
000786.SZ,20000719,14.5,14.69,14.32,14.59,14.4,0.19,1.32,4739.0,6835.4484
000786.SZ,20000720,14.6,14.85,14.42,14.75,14.59,0.16,1.1,12034.0,17680.5945
000786.SZ,20000721,14.76,15.2,14.45,15.06,14.75,0.31,2.1,19085.0,28201.4319
000786.SZ,20000724,15.0,15.05,14.55,14.92,15.06,-0.14,-0.93,16652.0,24621.4264
000786.SZ,20000725,14.9,15.49,14.7,15.45,14.92,0.53,3.55,27442.0,41457.5881
000786.SZ,20000726,15.38,15.56,15.26,15.43,15.45,-0.02,-0.13,16545.0,25535.6772
000786.SZ,20000727,15.4,15.6,15.17,15.28,15.43,-0.15,-0.97,9587.0,14692.064
000786.SZ,20000728,15.46,15.6,15.22,15.36,15.28,0.08,0.52,6970.0,10756.7972
000786.SZ,20000731,15.48,15.48,15.01,15.25,15.36,-0.11,-0.72,8286.0,12557.6966
000786.SZ,20000801,16.0,16.0,15.5,15.59,15.25,0.34,2.23,19030.0,29783.4547
000786.SZ,20000802,15.75,15.96,15.55,15.81,15.59,0.22,1.41,19329.0,30552.5858
000786.SZ,20000803,15.98,16.6,15.91,16.45,15.81,0.64,4.05,43953.0,72082.6401
000786.SZ,20000804,16.4,16.52,16.01,16.28,16.45,-0.17,-1.03,17134.0,27810.064
000786.SZ,20000807,16.25,16.25,15.95,16.01,16.28,-0.27,-1.66,16853.0,27113.8919
000786.SZ,20000808,16.1,16.25,15.9,15.99,16.01,-0.02,-0.12,12543.0,20126.7142
000786.SZ,20000809,16.01,16.18,15.98,16.07,15.99,0.08,0.5,14805.0,23754.6264
