ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601888.SH,20091015,16.11,17.51,15.53,17.08,11.78,5.3,44.9915,1535864.77,2501742.91
601888.SH,20091016,16.66,16.79,15.37,15.41,17.08,-1.67,-9.7775,970132.72,1550183.311
601888.SH,20091019,15.81,16.12,15.4,15.84,15.41,0.43,2.7904,613624.8,968517.919
601888.SH,20091020,15.65,17.42,15.62,17.42,15.84,1.58,9.9747,547075.7,906679.953
601888.SH,20091021,17.56,17.7,16.95,17.06,17.42,-0.36,-2.0666,600277.24,1035860.877
601888.SH,20091022,16.89,17.45,16.65,17.26,17.06,0.2,1.1723,400865.11,686573.993
601888.SH,20091023,17.26,17.49,17.0,17.13,17.26,-0.13,-0.7532,295269.47,508294.828
601888.SH,20091026,16.9,17.04,16.1,16.48,17.13,-0.65,-3.7945,340018.86,559038.741
601888.SH,20091027,16.25,16.36,15.9,16.08,16.48,-0.4,-2.4272,194752.98,313212.949
601888.SH,20091028,15.98,16.44,15.96,16.34,16.08,0.26,1.6169,185345.88,301266.617
601888.SH,20091029,16.19,16.44,15.7,15.79,16.34,-0.55,-3.366,190467.12,306902.393
601888.SH,20091030,15.98,16.2,15.6,15.74,15.79,-0.05,-0.3167,162579.2,259099.818
601888.SH,20091102,15.41,15.75,14.95,15.69,15.74,-0.05,-0.3177,227771.54,349635.625
601888.SH,20091103,15.61,16.25,15.48,16.01,15.69,0.32,2.0395,202814.99,323568.738
601888.SH,20091104,15.9,16.17,15.8,16.1,16.01,0.09,0.5621,186315.0,298071.051
601888.SH,20091105,16.1,17.5,15.92,17.12,16.1,1.02,6.3354,309606.22,514285.834
601888.SH,20091106,17.08,17.65,16.9,17.21,17.12,0.09,0.5257,472633.14,816844.866
601888.SH,20091109,18.93,18.93,18.58,18.93,17.21,1.72,9.9942,445062.37,841959.008
601888.SH,20091110,18.96,19.2,18.65,18.99,18.93,0.06,0.317,386814.03,730718.114
